
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  21500 Console                    1      5,048 K
svchost.exe                  11276 Services                   0      3,100 K
dllhost.exe                  20364 Console                    1      3,636 K
WindowsTerminal.exe          16088 Console                    1     51,344 K
OpenConsole.exe               5420 Console                    1      3,024 K
powershell.exe               20864 Console                    1      3,340 K
cmd.exe                      10160 Console                    1        964 K
java.exe                     13356 Console                    1     59,284 K
java.exe                     20776 Console                    1     94,660 K
Code.exe                      2332 Console                    1     56,992 K
Code.exe                      9620 Console                    1      3,108 K
Code.exe                     14572 Console                    1     91,012 K
Code.exe                     17132 Console                    1     12,196 K
Code.exe                     12596 Console                    1    177,984 K
Code.exe                     21424 Console                    1     52,104 K
Code.exe                     10800 Console                    1     85,644 K
Code.exe                      8744 Console                    1     13,132 K
Code.exe                     18536 Console                    1      9,948 K
Code.exe                     20840 Console                    1      9,376 K
Code.exe                     13332 Console                    1     19,116 K
Code.exe                     19680 Console                    1     71,860 K
Code.exe                      4548 Console                    1     13,508 K
Code.exe                     16752 Console                    1     18,772 K
Code.exe                     19548 Console                    1      8,100 K
OpenConsole.exe              12380 Console                    1      2,068 K
powershell.exe               18464 Console                    1     22,592 K
java.exe                      9388 Console                    1    141,208 K
conhost.exe                   3784 Console                    1        644 K
conhost.exe                  13040 Console                    1      1,956 K
powershell.exe                7380 Console                    1     13,224 K
chrome.exe                    9708 Console                    1     32,768 K
chrome.exe                    5148 Console                    1     73,020 K
smartscreen.exe              17588 Console                    1      9,560 K
dllhost.exe                  17108 Console                    1      7,664 K
svchost.exe                  12476 Services                   0     32,900 K
svchost.exe                  22072 Services                   0     35,600 K
svchost.exe                  23116 Services                   0      5,892 K
svchost.exe                  23424 Services                   0      7,516 K
PhoneExperienceHost.exe      24488 Console                    1     81,192 K
svchost.exe                  14044 Services                   0      6,732 K
SearchProtocolHost.exe       20060 Console                    1      8,288 K
SearchProtocolHost.exe       23664 Services                   0     14,024 K
SearchFilterHost.exe         23696 Services                   0      9,564 K
Code.exe                     21868 Console                    1     94,664 K
Code.exe                     23156 Console                    1     26,536 K
Code.exe                     23244 Console                    1    107,452 K
Code.exe                     20316 Console                    1     40,096 K
Code.exe                      3732 Console                    1    192,904 K
SearchFilterHost.exe         20104 Services                   0     14,492 K
Code.exe                      1524 Console                    1    111,312 K
Code.exe                     12960 Console                    1     69,656 K
Code.exe                     22692 Console                    1    182,216 K
Code.exe                     23724 Console                    1     57,792 K
Code.exe                     22268 Console                    1     95,472 K
Code.exe                      5692 Console                    1    122,016 K
Code.exe                     24444 Console                    1     48,544 K
Code.exe                     11372 Console                    1     66,860 K
Code.exe                     10140 Console                    1     57,004 K
Code.exe                     13464 Console                    1     48,712 K
msedge.exe                   15732 Console                    1    134,876 K
chrome.exe                   23712 Console                    1     70,820 K
WmiPrvSE.exe                 19872 Services                   0     12,436 K
Teams.exe                    17328 Console                    1     34,492 K
node.exe                     23276 Console                    1     38,020 K
tasklist.exe                 22176 Console                    1     10,400 K
conhost.exe                   8364 Console                    1     10,716 K
tasklist.exe                 13940 Console                    1     10,408 K
tasklist.exe                  9116 Console                    1     10,388 K
conhost.exe                   7896 Console                    1     10,720 K
tasklist.exe                 11600 Console                    1     10,408 K
conhost.exe                  23876 Console                    1     10,724 K
conhost.exe                  12232 Console                    1     10,716 K
tasklist.exe                 23804 Console                    1     10,380 K
conhost.exe                  21592 Console                    1     10,712 K
